Algorithm,Total_Puzzles,Solved_Puzzles,Success_Rate,Metric,Mean,Median,Min,Max,Std_Dev
piezas_descolocadas,10,10,100.0%,nodes_generated,13387.0000,15314.5000,1975.0000,33868.0000,9857.8174
piezas_descolocadas,10,10,100.0%,nodes_expanded,4945.9000,5646.0000,722.0000,12513.0000,3646.1694
piezas_descolocadas,10,10,100.0%,max_memory,7682.8000,8860.5000,1183.0000,18975.0000,5518.3253
piezas_descolocadas,10,10,100.0%,solution_cost,20.8000,22.0000,16.0000,24.0000,2.3476
piezas_descolocadas,10,10,100.0%,max_depth,20.8000,22.0000,16.0000,24.0000,2.3476
piezas_descolocadas,10,10,100.0%,execution_time,0.0514,0.0568,0.0065,0.1290,0.0377
