puzzle_index,initial_state,solved,nodes_generated,nodes_expanded,execution_time,solution_cost,max_depth,max_memory
1,421786053,True,3192,1161,0.0313262939453125,18,18,1917
2,173602584,True,1975,722,0.016007423400878906,16,16,1183
3,254701683,True,18680,6937,0.15707778930664062,22,22,10738
4,430786215,True,15402,5657,0.1410367488861084,22,22,8920
5,061854237,True,5013,1848,0.04854774475097656,20,20,2980
6,643801275,True,19317,7127,0.1973896026611328,22,22,11010
7,346257081,True,4913,1825,0.0469050407409668,20,20,2906
8,687304152,True,16283,6034,0.15784573554992676,22,22,9398
9,046187325,True,33868,12513,0.30564308166503906,24,24,18975
10,253641870,True,15227,5635,0.1414024829864502,22,22,8801
