Algorithm,Total_Puzzles,Solved_Puzzles,Success_Rate,Metric,Mean,Median,Min,Max,Std_Dev
Metodo_A,10,10,100.0%,nodes_generated,13387.0000,15314.5000,1975.0000,33868.0000,9857.8174
Metodo_A,10,10,100.0%,nodes_expanded,4945.9000,5646.0000,722.0000,12513.0000,3646.1694
Metodo_A,10,10,100.0%,max_memory,7682.8000,8860.5000,1183.0000,18975.0000,5518.3253
Metodo_A,10,10,100.0%,solution_cost,20.8000,22.0000,16.0000,24.0000,2.3476
Metodo_A,10,10,100.0%,max_depth,20.8000,22.0000,16.0000,24.0000,2.3476
Metodo_A,10,10,100.0%,execution_time,0.1243,0.1412,0.0160,0.3056,0.0901
